,Team,Played,Won,Drawn,Lost,GF,GA,GD,Points
0,Manchester City FC,4,4,0,0,11,3,8,12
1,Liverpool FC,5,4,0,1,8,1,7,12
2,Chelsea FC,5,3,1,1,11,5,6,10
3,Arsenal FC,4,3,1,0,6,1,5,10
4,Newcastle United FC,5,3,1,1,6,5,1,10
5,Aston Villa FC,5,3,0,2,7,7,0,9
6,Brighton & Hove Albion FC,4,2,2,0,6,2,4,8
7,Fulham FC,5,2,2,1,6,4,2,8
8,Nottingham Forest FC,4,2,2,0,4,2,2,8
9,Tottenham Hotspur FC,5,2,1,2,8,5,3,7
10,Manchester United FC,4,2,0,2,5,5,0,6
11,Brentford FC,5,2,0,3,7,8,-1,6
12,AFC Bournemouth,5,1,2,2,5,6,-1,5
13,West Ham United FC,5,1,1,3,5,9,-4,4
14,Wolverhampton Wanderers FC,5,1,1,3,5,11,-6,4
15,Southampton FC,5,1,0,4,2,8,-6,3
16,Everton FC,5,1,0,4,5,13,-8,3
17,Leicester City FC,5,0,2,3,5,8,-3,2
18,Crystal Palace FC,4,0,2,2,4,7,-3,2
19,Ipswich Town FC,5,0,2,3,2,8,-6,2
